Season,Date,Game Type,Team,Opponent,Arena,City,State,Attendance,game_date,attendance
2017,"May 23, 2017",Regular season,Phoenix Mercury,New York Liberty,Talking Stick Resort Arena,Phoenix,AZ,7886,2017-05-23,7886
2017,"May 24, 2017",Regular season,Chicago Sky,Washington Mystics,Allstate Arena,Rosemont,IL,6714,2017-05-24,6714
2017,"May 24, 2017",Regular season,Indiana Fever,Los Angeles Sparks,Bankers Life Fieldhouse,Indianapolis,IN,5875,2017-05-24,5875
2017,"May 25, 2017",Regular season,San Antonio Stars,Dallas Wings,AT&T Center,San Antonio,TX,9621,2017-05-25,9621
2017,"May 26, 2017",Regular season,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,6333,2017-05-26,6333
2017,"May 26, 2017",Regular season,Washington Mystics,Chicago Sky,Capital One Arena,Washington,DC,6438,2017-05-26,6438
2017,"May 26, 2017",Regular season,Seattle Storm,New York Liberty,KeyArena,Seattle,WA,5860,2017-05-26,5860
2017,"May 27, 2017",Regular season,Atlanta Dream,Los Angeles Sparks,McCamish Pavilion,Atlanta,GA,4253,2017-05-27,4253
2017,"May 27, 2017",Regular season,Phoenix Mercury,Dallas Wings,Talking Stick Resort Arena,Phoenix,AZ,9245,2017-05-27,9245
2017,"May 28, 2017",Regular season,Chicago Sky,Connecticut Sun,Allstate Arena,Rosemont,IL,4498,2017-05-28,4498
2017,"May 28, 2017",Regular season,Seattle Storm,Indiana Fever,KeyArena,Seattle,WA,4722,2017-05-28,4722
2017,"May 28, 2017",Regular season,Minnesota Lynx,San Antonio Stars,Xcel Energy Center,St. Paul,MN,9034,2017-05-28,9034
2017,"May 30, 2017",Regular season,New York Liberty,Los Angeles Sparks,Madison Square Garden,New York,NY,8108,2017-05-30,8108
2017,"May 30, 2017",Regular season,Dallas Wings,Indiana Fever,College Park Center,Arlington,TX,3076,2017-05-30,3076
2017,"May 31, 2017",Regular season,Washington Mystics,Connecticut Sun,Capital One Arena,Washington,DC,5393,2017-05-31,5393
2017,"May 31, 2017",Regular season,Atlanta Dream,San Antonio Stars,McCamish Pavilion,Atlanta,GA,3813,2017-05-31,3813
2017,"June 1, 2017",Regular season,Chicago Sky,Phoenix Mercury,Allstate Arena,Rosemont,IL,4634,2017-06-01,4634
2017,"June 2, 2017",Regular season,New York Liberty,Dallas Wings,Madison Square Garden,New York,NY,7426,2017-06-02,7426
2017,"June 3, 2017",Regular season,Indiana Fever,Dallas Wings,Bankers Life Fieldhouse,Indianapolis,IN,6529,2017-06-03,6529
2017,"June 3, 2017",Regular season,San Antonio Stars,Connecticut Sun,AT&T Center,San Antonio,TX,7128,2017-06-03,7128
2017,"June 3, 2017",Regular season,Seattle Storm,Minnesota Lynx,KeyArena,Seattle,WA,7576,2017-06-03,7576
2017,"June 4, 2017",Regular season,New York Liberty,Phoenix Mercury,Madison Square Garden,New York,NY,7831,2017-06-04,7831
2017,"June 4, 2017",Regular season,Washington Mystics,Atlanta Dream,Capital One Arena,Washington,DC,5320,2017-06-04,5320
2017,"June 6, 2017",Regular season,Dallas Wings,Washington Mystics,College Park Center,Arlington,TX,2805,2017-06-06,2805
2017,"June 6, 2017",Regular season,San Antonio Stars,Seattle Storm,AT&T Center,San Antonio,TX,4260,2017-06-06,4260
2017,"June 6, 2017",Regular season,Los Angeles Sparks,Chicago Sky,Staples Center,Los Angeles,CA,8523,2017-06-06,8523
2017,"June 7, 2017",Regular season,New York Liberty,Atlanta Dream,Madison Square Garden,New York,NY,14816,2017-06-07,14816
2017,"June 7, 2017",Regular season,Indiana Fever,Phoenix Mercury,Bankers Life Fieldhouse,Indianapolis,IN,5702,2017-06-07,5702
2017,"June 9, 2017",Regular season,Washington Mystics,Minnesota Lynx,Capital One Arena,Washington,DC,6518,2017-06-09,6518
2017,"June 9, 2017",Regular season,Indiana Fever,Seattle Storm,Bankers Life Fieldhouse,Indianapolis,IN,6166,2017-06-09,6166
2017,"June 9, 2017",Regular season,Dallas Wings,Los Angeles Sparks,College Park Center,Arlington,TX,3169,2017-06-09,3169
2017,"June 10, 2017",Regular season,Connecticut Sun,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,5327,2017-06-10,5327
2017,"June 10, 2017",Regular season,San Antonio Stars,Chicago Sky,AT&T Center,San Antonio,TX,6191,2017-06-10,6191
2017,"June 10, 2017",Regular season,Phoenix Mercury,Los Angeles Sparks,Talking Stick Resort Arena,Phoenix,AZ,10223,2017-06-10,10223
2017,"June 11, 2017",Regular season,New York Liberty,Seattle Storm,Madison Square Garden,New York,NY,8564,2017-06-11,8564
2017,"June 11, 2017",Regular season,Washington Mystics,Indiana Fever,Capital One Arena,Washington,DC,6194,2017-06-11,6194
2017,"June 11, 2017",Regular season,Dallas Wings,Minnesota Lynx,College Park Center,Arlington,TX,3998,2017-06-11,3998
2017,"June 13, 2017",Regular season,Seattle Storm,Atlanta Dream,KeyArena,Seattle,WA,4352,2017-06-13,4352
2017,"June 13, 2017",Regular season,Los Angeles Sparks,Dallas Wings,Staples Center,Los Angeles,CA,7233,2017-06-13,7233
2017,"June 14, 2017",Regular season,Connecticut Sun,New York Liberty,Mohegan Sun Arena,Uncasville,CT,4818,2017-06-14,4818
2017,"June 15, 2017",Regular season,Indiana Fever,Atlanta Dream,Bankers Life Fieldhouse,Indianapolis,IN,5830,2017-06-15,5830
2017,"June 15, 2017",Regular season,Los Angeles Sparks,San Antonio Stars,Staples Center,Los Angeles,CA,9104,2017-06-15,9104
2017,"June 16, 2017",Regular season,Dallas Wings,New York Liberty,College Park Center,Arlington,TX,3152,2017-06-16,3152
2017,"June 16, 2017",Regular season,Phoenix Mercury,Chicago Sky,Talking Stick Resort Arena,Phoenix,AZ,10249,2017-06-16,10249
2017,"June 17, 2017",Regular season,Minnesota Lynx,Connecticut Sun,Xcel Energy Center,St. Paul,MN,10121,2017-06-17,10121
2017,"June 18, 2017",Regular season,Washington Mystics,Dallas Wings,Capital One Arena,Washington,DC,7285,2017-06-18,7285
2017,"June 18, 2017",Regular season,Los Angeles Sparks,Phoenix Mercury,Staples Center,Los Angeles,CA,9916,2017-06-18,9916
2017,"June 18, 2017",Regular season,Chicago Sky,Indiana Fever,Allstate Arena,Rosemont,IL,4551,2017-06-18,4551
2017,"June 18, 2017",Regular season,Seattle Storm,San Antonio Stars,KeyArena,Seattle,WA,9686,2017-06-18,9686
2017,"June 21, 2017",Regular season,Dallas Wings,San Antonio Stars,College Park Center,Arlington,TX,4617,2017-06-21,4617
2017,"June 23, 2017",Regular season,New York Liberty,Connecticut Sun,Madison Square Garden,New York,NY,10240,2017-06-23,10240
2017,"June 23, 2017",Regular season,Atlanta Dream,Chicago Sky,McCamish Pavilion,Atlanta,GA,4237,2017-06-23,4237
2017,"June 23, 2017",Regular season,Minnesota Lynx,Washington Mystics,Xcel Energy Center,St. Paul,MN,9723,2017-06-23,9723
2017,"June 23, 2017",Regular season,San Antonio Stars,Dallas Wings,AT&T Center,San Antonio,TX,7086,2017-06-23,7086
2017,"June 23, 2017",Regular season,Seattle Storm,Phoenix Mercury,KeyArena,Seattle,WA,7796,2017-06-23,7796
2017,"June 24, 2017",Regular season,Indiana Fever,Los Angeles Sparks,Bankers Life Fieldhouse,Indianapolis,IN,9241,2017-06-24,9241
2017,"June 25, 2017",Regular season,Dallas Wings,Connecticut Sun,College Park Center,Arlington,TX,3408,2017-06-25,3408
2017,"June 25, 2017",Regular season,Chicago Sky,Washington Mystics,Allstate Arena,Rosemont,IL,5344,2017-06-25,5344
2017,"June 25, 2017",Regular season,Minnesota Lynx,San Antonio Stars,Xcel Energy Center,St. Paul,MN,9013,2017-06-25,9013
2017,"June 27, 2017",Regular season,Washington Mystics,Seattle Storm,Capital One Arena,Washington,DC,7337,2017-06-27,7337
2017,"June 27, 2017",Regular season,Connecticut Sun,Los Angeles Sparks,Mohegan Sun Arena,Uncasville,CT,6899,2017-06-27,6899
2017,"June 28, 2017",Regular season,Chicago Sky,Indiana Fever,Allstate Arena,Rosemont,IL,10197,2017-06-28,10197
2017,"June 29, 2017",Regular season,Washington Mystics,New York Liberty,Capital One Arena,Washington,DC,5490,2017-06-29,5490
2017,"June 29, 2017",Regular season,Connecticut Sun,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,8668,2017-06-29,8668
2017,"June 30, 2017",Regular season,Atlanta Dream,Los Angeles Sparks,McCamish Pavilion,Atlanta,GA,4119,2017-06-30,4119
2017,"June 30, 2017",Regular season,San Antonio Stars,Chicago Sky,AT&T Center,San Antonio,TX,4942,2017-06-30,4942
2017,"June 30, 2017",Regular season,Phoenix Mercury,Minnesota Lynx,Talking Stick Resort Arena,Phoenix,AZ,11330,2017-06-30,11330
2017,"July 1, 2017",Regular season,Indiana Fever,Connecticut Sun,Bankers Life Fieldhouse,Indianapolis,IN,6473,2017-07-01,6473
2017,"July 1, 2017",Regular season,Dallas Wings,Seattle Storm,College Park Center,Arlington,TX,4038,2017-07-01,4038
2017,"July 2, 2017",Regular season,Los Angeles Sparks,Washington Mystics,Staples Center,Los Angeles,CA,9185,2017-07-02,9185
2017,"July 2, 2017",Regular season,Atlanta Dream,New York Liberty,McCamish Pavilion,Atlanta,GA,3521,2017-07-02,3521
2017,"July 5, 2017",Regular season,Dallas Wings,Atlanta Dream,College Park Center,Arlington,TX,3555,2017-07-05,3555
2017,"July 5, 2017",Regular season,San Antonio Stars,Connecticut Sun,AT&T Center,San Antonio,TX,3210,2017-07-05,3210
2017,"July 5, 2017",Regular season,Phoenix Mercury,Washington Mystics,Talking Stick Resort Arena,Phoenix,AZ,7440,2017-07-05,7440
2017,"July 6, 2017",Regular season,Minnesota Lynx,Los Angeles Sparks,Xcel Energy Center,St. Paul,MN,9821,2017-07-06,9821
2017,"July 6, 2017",Regular season,Seattle Storm,New York Liberty,KeyArena,Seattle,WA,4397,2017-07-06,4397
2017,"July 7, 2017",Regular season,Atlanta Dream,Indiana Fever,McCamish Pavilion,Atlanta,GA,3359,2017-07-07,3359
2017,"July 7, 2017",Regular season,San Antonio Stars,Phoenix Mercury,AT&T Center,San Antonio,TX,8232,2017-07-07,8232
2017,"July 8, 2017",Regular season,Connecticut Sun,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,6073,2017-07-08,6073
2017,"July 8, 2017",Regular season,Chicago Sky,Minnesota Lynx,Allstate Arena,Rosemont,IL,6942,2017-07-08,6942
2017,"July 8, 2017",Regular season,Seattle Storm,Los Angeles Sparks,KeyArena,Seattle,WA,7104,2017-07-08,7104
2017,"July 9, 2017",Regular season,Atlanta Dream,Dallas Wings,McCamish Pavilion,Atlanta,GA,4019,2017-07-09,4019
2017,"July 9, 2017",Regular season,Phoenix Mercury,New York Liberty,Talking Stick Resort Arena,Phoenix,AZ,9413,2017-07-09,9413
2017,"July 12, 2017",Regular season,Indiana Fever,San Antonio Stars,Bankers Life Fieldhouse,Indianapolis,IN,12282,2017-07-12,12282
2017,"July 12, 2017",Regular season,Chicago Sky,Dallas Wings,Allstate Arena,Rosemont,IL,14102,2017-07-12,14102
2017,"July 12, 2017",Regular season,Seattle Storm,Connecticut Sun,KeyArena,Seattle,WA,10833,2017-07-12,10833
2017,"July 12, 2017",Regular season,Phoenix Mercury,Atlanta Dream,Talking Stick Resort Arena,Phoenix,AZ,9342,2017-07-12,9342
2017,"July 13, 2017",Regular season,Los Angeles Sparks,Connecticut Sun,Staples Center,Los Angeles,CA,9918,2017-07-13,9918
2017,"July 14, 2017",Regular season,Indiana Fever,Washington Mystics,Bankers Life Fieldhouse,Indianapolis,IN,8007,2017-07-14,8007
2017,"July 14, 2017",Regular season,New York Liberty,Chicago Sky,Madison Square Garden,New York,NY,9341,2017-07-14,9341
2017,"July 14, 2017",Regular season,Phoenix Mercury,Minnesota Lynx,Talking Stick Resort Arena,Phoenix,AZ,10493,2017-07-14,10493
2017,"July 15, 2017",Regular season,Seattle Storm,Atlanta Dream,KeyArena,Seattle,WA,6993,2017-07-15,6993
2017,"July 16, 2017",Regular season,Connecticut Sun,San Antonio Stars,Mohegan Sun Arena,Uncasville,CT,6355,2017-07-16,6355
2017,"July 16, 2017",Regular season,New York Liberty,Washington Mystics,Madison Square Garden,New York,NY,10204,2017-07-16,10204
2017,"July 16, 2017",Regular season,Dallas Wings,Chicago Sky,College Park Center,Arlington,TX,3693,2017-07-16,3693
2017,"July 16, 2017",Regular season,Minnesota Lynx,Phoenix Mercury,Xcel Energy Center,St. Paul,MN,10022,2017-07-16,10022
2017,"July 17, 2017",Regular season,Los Angeles Sparks,Indiana Fever,Staples Center,Los Angeles,CA,11386,2017-07-17,11386
2017,"July 18, 2017",Regular season,Atlanta Dream,San Antonio Stars,McCamish Pavilion,Atlanta,GA,7413,2017-07-18,7413
2017,"July 18, 2017",Regular season,Seattle Storm,Chicago Sky,KeyArena,Seattle,WA,8358,2017-07-18,8358
2017,"July 19, 2017",Regular season,New York Liberty,Connecticut Sun,Madison Square Garden,New York,NY,17443,2017-07-19,17443
2017,"July 19, 2017",Regular season,Washington Mystics,Atlanta Dream,Capital One Arena,Washington,DC,15597,2017-07-19,15597
2017,"July 19, 2017",Regular season,Minnesota Lynx,Dallas Wings,Xcel Energy Center,St. Paul,MN,17834,2017-07-19,17834
2017,"July 19, 2017",Regular season,Phoenix Mercury,Indiana Fever,Talking Stick Resort Arena,Phoenix,AZ,11371,2017-07-19,11371
2017,"July 20, 2017",Regular season,Los Angeles Sparks,Chicago Sky,Staples Center,Los Angeles,CA,16166,2017-07-20,16166
2017,"July 20, 2017",Regular season,San Antonio Stars,Indiana Fever,AT&T Center,San Antonio,TX,7306,2017-07-20,7306
2017,"July 25, 2017",Regular season,San Antonio Stars,Washington Mystics,AT&T Center,San Antonio,TX,9244,2017-07-25,9244
2017,"July 25, 2017",Regular season,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,5631,2017-07-25,5631
2017,"July 25, 2017",Regular season,Atlanta Dream,Phoenix Mercury,McCamish Pavilion,Atlanta,GA,4053,2017-07-25,4053
2017,"July 25, 2017",Regular season,Minnesota Lynx,New York Liberty,Xcel Energy Center,St. Paul,MN,10123,2017-07-25,10123
2017,"July 25, 2017",Regular season,Dallas Wings,Indiana Fever,College Park Center,Arlington,TX,3701,2017-07-25,3701
2017,"July 25, 2017",Regular season,Los Angeles Sparks,Seattle Storm,Staples Center,Los Angeles,CA,10012,2017-07-25,10012
2017,"July 28, 2017",Regular season,Indiana Fever,New York Liberty,Bankers Life Fieldhouse,Indianapolis,IN,6617,2017-07-28,6617
2017,"July 28, 2017",Regular season,Atlanta Dream,Minnesota Lynx,McCamish Pavilion,Atlanta,GA,4197,2017-07-28,4197
2017,"July 28, 2017",Regular season,San Antonio Stars,Los Angeles Sparks,AT&T Center,San Antonio,TX,5777,2017-07-28,5777
2017,"July 28, 2017",Regular season,Chicago Sky,Phoenix Mercury,Allstate Arena,Rosemont,IL,6088,2017-07-28,6088
2017,"July 28, 2017",Regular season,Seattle Storm,Dallas Wings,KeyArena,Seattle,WA,7797,2017-07-28,7797
2017,"July 30, 2017",Regular season,Connecticut Sun,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,6145,2017-07-30,6145
